unit,state,unit_fe,group,g,year,year_fe,treat,rel_year,rel_year_binned,error,te,te_dynamic,dep_var
1,5,0.718703388,Group 3,0,1990,-0.107771526,FALSE,Inf,Inf,-0.389488638,0,0,0.221443224
1,5,0.718703388,Group 3,0,1991,1.02819566,FALSE,Inf,Inf,-0.949943597,0,0,0.796955451
1,5,0.718703388,Group 3,0,1992,0.233654809,FALSE,Inf,Inf,-0.347879592,0,0,0.604478605
1,5,0.718703388,Group 3,0,1993,-1.051871247,FALSE,Inf,Inf,-0.601924091,0,0,-0.93509195
1,5,0.718703388,Group 3,0,1994,0.348840303,FALSE,Inf,Inf,1.738997111,0,0,2.806540802
1,5,0.718703388,Group 3,0,1995,-0.24423416,FALSE,Inf,Inf,3.142019815,0,0,3.616489042
1,5,0.718703388,Group 3,0,1996,0.595901199,FALSE,Inf,Inf,0.219273086,0,0,1.533877673
1,5,0.718703388,Group 3,0,1997,0.403462211,FALSE,Inf,Inf,1.502291381,0,0,2.624456979
1,5,0.718703388,Group 3,0,1998,0.515445521,FALSE,Inf,Inf,-0.863940628,0,0,0.370208281
1,5,0.718703388,Group 3,0,1999,-0.883088075,FALSE,Inf,Inf,0.650732476,0,0,0.486347789
1,5,0.718703388,Group 3,0,2000,0.616623929,FALSE,Inf,Inf,-1.399546526,0,0,-0.064219208
1,5,0.718703388,Group 3,0,2001,0.32195194,FALSE,Inf,Inf,2.442593794,0,0,3.483249122
1,5,0.718703388,Group 3,0,2002,0.722115448,FALSE,Inf,Inf,-0.635491809,0,0,0.805327028
1,5,0.718703388,Group 3,0,2003,0.671485369,FALSE,Inf,Inf,1.702496454,0,0,3.092685211
1,5,0.718703388,Group 3,0,2004,-1.004997335,FALSE,Inf,Inf,-0.680974255,0,0,-0.967268202
1,5,0.718703388,Group 3,0,2005,0.029492023,FALSE,Inf,Inf,-0.78622899,0,0,-0.038033579
1,5,0.718703388,Group 3,0,2006,-0.227385153,FALSE,Inf,Inf,-0.449082681,0,0,0.042235554
1,5,0.718703388,Group 3,0,2007,0.053143863,FALSE,Inf,Inf,-1.306249089,0,0,-0.534401837
1,5,0.718703388,Group 3,0,2008,1.174434406,FALSE,Inf,Inf,-0.116599694,0,0,1.7765381
1,5,0.718703388,Group 3,0,2009,-0.857515838,FALSE,Inf,Inf,0.10225259,0,0,-0.03655986
1,5,0.718703388,Group 3,0,2010,-0.449531489,FALSE,Inf,Inf,-0.187284973,0,0,0.081886927
1,5,0.718703388,Group 3,0,2011,1.760543828,FALSE,Inf,Inf,0.249421471,0,0,2.728668687
1,5,0.718703388,Group 3,0,2012,0.511912996,FALSE,Inf,Inf,0.623692285,0,0,1.854308668
1,5,0.718703388,Group 3,0,2013,0.278554309,FALSE,Inf,Inf,-0.935520936,0,0,0.061736761
1,5,0.718703388,Group 3,0,2014,-0.117430483,FALSE,Inf,Inf,1.53257668,0,0,2.133849584
1,5,0.718703388,Group 3,0,2015,0.70007575,FALSE,Inf,Inf,-0.02439319,0,0,1.394385948
1,5,0.718703388,Group 3,0,2016,-1.264513124,FALSE,Inf,Inf,0.965080575,0,0,0.419270839
1,5,0.718703388,Group 3,0,2017,0.282922325,FALSE,Inf,Inf,-1.475313824,0,0,-0.473688111
1,5,0.718703388,Group 3,0,2018,0.107850572,FALSE,Inf,Inf,2.310064514,0,0,3.136618474
1,5,0.718703388,Group 3,0,2019,-1.815391244,FALSE,Inf,Inf,-0.307342098,0,0,-1.404029954
1,5,0.718703388,Group 3,0,2020,-1.269546139,FALSE,Inf,Inf,-0.251736146,0,0,-0.802578896
2,33,6.738663831,Group 1,2000,1990,-0.339584351,FALSE,-10,-6,1.389224093,0,0,7.788303573
2,33,6.738663831,Group 1,2000,1991,-0.407101574,FALSE,-9,-6,2.146445657,0,0,8.478007914
2,33,6.738663831,Group 1,2000,1992,0.086347626,FALSE,-8,-6,0.001660258,0,0,6.826671715
2,33,6.738663831,Group 1,2000,1993,0.060143729,FALSE,-7,-6,0.526919194,0,0,7.325726754
2,33,6.738663831,Group 1,2000,1994,0.759715428,FALSE,-6,-6,-0.751376333,0,0,6.747002926
2,33,6.738663831,Group 1,2000,1995,0.275896308,FALSE,-5,-5,-0.116381656,0,0,6.898178484
2,33,6.738663831,Group 1,2000,1996,0.672153777,FALSE,-4,-4,-1.595520615,0,0,5.815296994
